_no,category,name,address,phone,note,sido,sigungu,source
33,기타(금융기관),양동행복신용협동조합,서구 천변좌로 238,062-366-0013,,광주광역시,서구,서구청_착한가게
34,음식점,하나분식,서구 양동시장2길 2,062-364-1778,,광주광역시,서구,서구청_착한가게
35,소매업(생활용품),영진상회,"서구 천변좌로 238, 495호",062-364-8609,,광주광역시,서구,서구청_착한가게
36,소매업(식료품),별이네,서구 천변좌로246번길 1-2,062-368-7942,,광주광역시,서구,서구청_착한가게
37,기타(이미용),그린사우나,남구 구성로 24,062-363-3050,,광주광역시,서구,서구청_착한가게
38,소매업(식료품),김천유기,"서구 천변좌로 238, 208호 (양동, 양동시장)",062-363-5219,,광주광역시,서구,서구청_착한가게
39,기타(중소기업),㈜대진파이프,서구 독립로 178,062-363-7177,,광주광역시,서구,서구청_착한가게
40,소매업(주방용품),전남기물,서구 천변좌로 258-1,062-368-2111,,광주광역시,서구,서구청_착한가게
41,소매업(수산),광성수산,서구 천변좌로 262,062-363-3038,,광주광역시,서구,서구청_착한가게
42,소매업(철물),일영철물,서구 천변좌로 322,062-369-5253,,광주광역시,서구,서구청_착한가게
43,소매업(수산),성온수산,서구 천변좌로246번길 16 B동 307호,062-351-8440,,광주광역시,서구,서구청_착한가게
44,기타(중소기업),㈜세온엘리베이터,"서구 구성로93번길 2, 3층 세온엘리베이터",062-416-5800,,광주광역시,서구,서구청_착한가게
45,소매업(식료품),우리참기름,"서구 천변좌로 238, 가동 602호",062-369-4483,,광주광역시,서구,서구청_착한가게
46,소매업(일상용품),남진세탁소,서구 구성로 109-3,062-368-3931,,광주광역시,서구,서구청_착한가게
47,소매업(의류),일신주단,"서구 천변좌로 238, 나동 207호",0507-1380-4153,,광주광역시,서구,서구청_착한가게
48,소매업(식료품),금성떡집,서구 양동시장3길 16,062-369-2490,,광주광역시,서구,서구청_착한가게
49,기타(중소기업),안성약품㈜,"광산구 임방울대로 825번길 60-18, 프런치타워 4층",,,광주광역시,서구,서구청_착한가게
50,소매업(식료품),조광식품,서구 마륵복개로 68-22,062-373-6114,,광주광역시,서구,서구청_착한가게
51,소매업(식료품),에덴식품,"서구 양동시장1길 15, 호천상회",,,광주광역시,서구,서구청_착한가게
52,소매업(생활용품),형제그릇,구 천변좌로 2724,062-362-8020,,광주광역시,서구,서구청_착한가게
53,중소기업,(주)유진농업회사,"서구 매월1로 28 B220호(매월동, 광주건어물유통종합상가)",,,광주광역시,서구,서구청_착한가게
54,소매업(가구류),굿모닝가구백화점,광산구 하남대로 568,,,광주광역시,서구,서구청_착한가게
55,소매업(공구),화정톱종합공구,서구 천변좌로 304,062-364-3370,,광주광역시,서구,서구청_착한가게
56,소매업(생활용품),에버그린,동구 서석로 56 금남로지하상가 E45,,,광주광역시,서구,서구청_착한가게
57,기타(금융기관),양동새마을금고,서구 양동시장2길 24,062-361-1171,,광주광역시,서구,서구청_착한가게
58,기타(이미용),동양목욕탕,서구 양동시장3길 19,062-366-0036,,광주광역시,서구,서구청_착한가게
59,소매업(생활용품),이화그릇,서구 경열로 109,0507-1340-5971,,광주광역시,서구,서구청_착한가게
60,소매업(의류),해유니폼,서구 천변좌로 243 양동복개상가 나5동 215호,062-351-2356,,광주광역시,서구,서구청_착한가게
61,복지용구,토마토의료기,서구 내방로398번길 5,,,광주광역시,서구,서구청_착한가게
62,음식점,은영식당,남구 경열로76번길 10,062-364-8332,,광주광역시,서구,서구청_착한가게
63,소매업(철물),화성상사,서구 독립로 194번길 12,062-369-7868,,광주광역시,서구,서구청_착한가게
64,소매업(식료품),종합떡방앗간,서구 천변좌로246번길 16,,,광주광역시,서구,서구청_착한가게
65,음식점,오반식당,서구 구성로93번길 3-1,,,광주광역시,서구,서구청_착한가게
66,소매업(수산),완도상회,서구 천변좌로246번길 13,062-363-1154,,광주광역시,서구,서구청_착한가게
67,음식점,대호정,서구 천변좌로 262,062-361-6043,,광주광역시,서구,서구청_착한가게
68,음식점,종순이네,"서구 천변좌로 238, 2층 201호(양동)",062-528-8453,,광주광역시,서구,서구청_착한가게
69,소매업(식료품),진성유통,서구 독립로185번길 11,062-369-2215,,광주광역시,서구,서구청_착한가게
70,소매업(식료품),청화식품,서구 덕흥동 42-4,062-369-5083,,광주광역시,서구,서구청_착한가게
71,기타(금융기관),삼애신용협동조합,서구 독립로 203,062-365-8301,,광주광역시,서구,서구청_착한가게
72,음식점,천년지기식당,서구 구성로19번길 20-13,062-362-1232,,광주광역시,서구,서구청_착한가게
73,소매업(축산),송학축산,서구 경열로 148,062-351-1411,,광주광역시,서구,서구청_착한가게
74,음식점,맛나식당,서구 경열로 146번길 1-1,0507-1495-0570,,광주광역시,서구,서구청_착한가게
75,소매업(축산),양축영농조합법인,서구 독립로185번길 7,,,광주광역시,서구,서구청_착한가게
76,소매업(농산),혜란이네,서구 경열로146번길 1,062-363-5137,,광주광역시,서구,서구청_착한가게
77,소매업(화훼),국제플라워데코,서구 경열로 119 광진빌딩 1층,062-529-5881,,광주광역시,서구,서구청_착한가게
78,음식점(카페),컴포즈커피광주양동시장점,서구 천변좌로254번길 2,0507-2093-3794,,광주광역시,서구,서구청_착한가게
79,음식점,서해식당,서구 천변좌로298번길 11,062-352-7061,,광주광역시,서구,서구청_착한가게
80,음식점,카도전집,"서구 양동시장3길 13, 1층",062-368-9183,,광주광역시,서구,서구청_착한가게
81,음식점,수일통닭,"서구 천변좌로262번길 1-1, 1층",062-369-8916,,광주광역시,서구,서구청_착한가게
82,음식점,고흥닭집,서구 양동시장1길 26-2,062-366-8727,,광주광역시,서구,서구청_착한가게
83,음식점(카페),커피하우스,"서구 천변좌로 238, 나동 306호",,,광주광역시,서구,서구청_착한가게
84,소매업(식료품),형제젓갈,서구 천변좌로 238 라동 709호,062-364-0984,,광주광역시,서구,서구청_착한가게
85,소매업(수산),동운상회,서구 천변좌로 238 나동 608호,062-362-6795,,광주광역시,서구,서구청_착한가게
86,기타(한약방),장수당한약방,서구 천변좌로262번길 17,062-361-5323,,광주광역시,서구,서구청_착한가게
87,소매업(수산),나주상회,서구 천변좌로 246번길 16 (수산물직판장),0507-1431-0748,,광주광역시,서구,서구청_착한가게
88,소매업(청과),현옥이네야채,서구 양동시장3길 8,062-363-7647,,광주광역시,서구,서구청_착한가게
89,음식점,영창식당,서구 천변좌로 243 양동복개상가 2층 67호,062-365-1372,,광주광역시,서구,서구청_착한가게
90,의료기관,극동사랑의원,서구 경열로 126,062-369-0777,,광주광역시,서구,서구청_착한가게
91,의료기관,햇살요양병원,서구 경열로 126,062-367-0000,,광주광역시,서구,서구청_착한가게
92,의료기관,문내과,서구 경열로 124,062-364-6300,,광주광역시,서구,서구청_착한가게
93,의료기관,서구베스트의원,서구 경열로 124(2층),062-352-7585,,광주광역시,서구,서구청_착한가게
94,소매업(식료품),무등산떡집,서구 천변좌로246번길 1-1,062-366-9742,,광주광역시,서구,서구청_착한가게
95,소매업(농산),은하수상회,서구 양동시장2길 6,,,광주광역시,서구,서구청_착한가게
96,소매업(건어물),속초상회,서구 천변좌로254번길 5,0507-1372-1599,,광주광역시,서구,서구청_착한가게
97,소매업(약초),지리산약초,서구 양동시장1길 16,0507-1391-3547,,광주광역시,서구,서구청_착한가게
98,소매업(건어물),대영상회,서구 양동시장1길 16,062-369-0950,,광주광역시,서구,서구청_착한가게
99,소매업(건어물),광산유통,서구 천변좌로254번길 3-2,062-364-1265,,광주광역시,서구,서구청_착한가게
100,마트,와이마트쌍촌역점,서구 상무대로 981,062-383-4851,,광주광역시,서구,서구청_착한가게
101,의료기관,상아약국,서구 독립로 175,062-368-5959,,광주광역시,서구,서구청_착한가게
102,음식점,쑤기분식,"서구 천변좌로 238, 710호",,,광주광역시,서구,서구청_착한가게
103,음식점,미식정,북구 천변우로283번길 12,,,광주광역시,서구,서구청_착한가게
104,음식점,김가네월산유보라점,"남구 구성로8번길 6, 반도유보라상가",062-369-5509,,광주광역시,서구,서구청_착한가게
105,음식점,마선생,서구 천변좌로262번길 11,062-369-6888,,광주광역시,서구,서구청_착한가게
106,소매업(청과),복야채,"서구 천변좌로238 라동 686,687호",,,광주광역시,서구,서구청_착한가게
107,소매업(농산),수일상회,서구 천변좌로 238 라동 693호,062-366-8489,,광주광역시,서구,서구청_착한가게
108,소매업(식료품),해남상회,서구 천변좌로 238 라동 690호,062-365-1151,,광주광역시,서구,서구청_착한가게
109,소매업(야채),양동상회,서구 천변좌로 238,062-362-1763,,광주광역시,서구,서구청_착한가게
110,소매업(식료품),승조식품,서구 천변좌로 238 A동 546호,062-369-6320,,광주광역시,서구,서구청_착한가게
111,소매업(귀금속),성진당,서구 독립로 183-1,062-224-1248,,광주광역시,서구,서구청_착한가게
112,소매업(청과),오부자청과,서구 경열로 136-2,,,광주광역시,서구,서구청_착한가게
113,소매업(가구류),금성가구,"서구 천변좌로 243,64호",,,광주광역시,서구,서구청_착한가게
114,소매업(가구류),우리디자인가구,서구 천변좌로 243,062-368-3356,,광주광역시,서구,서구청_착한가게
115,소매업(식료품),광신푸드모아,서구 양동시장1길 16,062-364-1512,,광주광역시,서구,서구청_착한가게
116,소매업(농산),인암농산,서구 천변좌로 238 653-654호,062-365-8025,,광주광역시,서구,서구청_착한가게
117,소매업(건어물),삼풍유통,서구 천변좌로 262,,,광주광역시,서구,서구청_착한가게
118,소매업(건어물),승덕상회,서구 양동시장1길 16,062-365-9968,,광주광역시,서구,서구청_착한가게
119,소매업(농산),대일상사,서구 천변좌로254번길 6-1,,,광주광역시,서구,서구청_착한가게
120,소매업(반찬),하남상회,"서구 천변좌로 238, 다동 565호",062-351-4697,,광주광역시,서구,서구청_착한가게
121,소매업(농산),광주농산,서구 천변좌로 246번길 16,,,광주광역시,서구,서구청_착한가게
122,음식점(카페),커피나라,서구 천변좌로 238 가동 110호,,,광주광역시,서구,서구청_착한가게
123,소매업(수산),삼성수산,서구 천변좌로 238 다동 439호,062-366-5354,,광주광역시,서구,서구청_착한가게
124,소매업(청과),복순이야채가게,서구 천변좌로 238 670호,,,광주광역시,서구,서구청_착한가게
125,소매업(침구),형제이불,서구 천변좌로 243 가동 1층1호,0507-1315-3928,,광주광역시,서구,서구청_착한가게
126,음식점,만석궁회관,서구 양동시장3길 16,062-234-7495,,광주광역시,서구,서구청_착한가게
127,소매업(수산),100호상회,서구 천변좌로246번길 16,062-366-0946,,광주광역시,서구,서구청_착한가게
128,소매업(생활용품),광주공예사,"서구 천변좌로 238, 나-318",062-363-7045,,광주광역시,서구,서구청_착한가게
129,소매업(수산),대경수산,서구 천변좌로 238 149호,062-364-3647,,광주광역시,서구,서구청_착한가게
130,기타(종교단체),천리교혜광교회,서구 천변좌로262번길 19-5,070-4642-6833,,광주광역시,서구,서구청_착한가게
131,소매업(의류),금란패션,서구 천변좌로 224-1 가2동 제77호,062-364-3702,,광주광역시,서구,서구청_착한가게
132,소매업(수산),송정홍어,서구 천변좌로246번길 16,,,광주광역시,서구,서구청_착한가게
133,소매업(농산),오바상회,서구 양동시장2길 6,,,광주광역시,서구,서구청_착한가게
134,소매업(식료품),형제식품,서구 경열로 140-1,0507-1410-5247,,광주광역시,서구,서구청_착한가게
135,소매업(식료품),동림식품,서구 천변좌로262번길 10,,,광주광역시,서구,서구청_착한가게
136,소매업(생활용품),현대그릇,서구 천변좌로 238 가-122(양동),062-365-5064,,광주광역시,서구,서구청_착한가게
137,소매업(의류),행복찾기,서구 천변좌로 262,062-367-3313,,광주광역시,서구,서구청_착한가게
138,기타(경로당),금호2차아파트경로당,서구 천변좌로 264,,,광주광역시,서구,서구청_착한가게
139,소매업(수산),일성상회,서구 양동시장2길 12,062-369-0377,,광주광역시,서구,서구청_착한가게
140,소매업(침구),양동이불마트,서구 경열로 142,0507-1415-8290,,광주광역시,서구,서구청_착한가게
141,기타(종교단체),대한불교무량종(백두암),서구 천변좌로 106-1(농성동),,,광주광역시,서구,서구청_착한가게
142,소매업(건어물),이조상사,서구 천변좌로254번길 6,062-366-5223,,광주광역시,서구,서구청_착한가게
143,소매업(식료품),중앙팥,서구 양동시장2길 2-1,,,광주광역시,서구,서구청_착한가게
144,소매업(의류),조흥상회,서구 천변좌로 238 나동 210,062-369-7204,,광주광역시,서구,서구청_착한가게
145,기타(종교단체),광남장로교회,서구 천변좌로306번길 12,,,광주광역시,서구,서구청_착한가게
146,소매업(수산),가영상회,서구 천변좌로 238 607호,062-366-1005,,광주광역시,서구,서구청_착한가게
147,음식점,유진이네칼국수,"서구 천변좌로 243, 가동2층 208호",0507-1393-8915,,광주광역시,서구,서구청_착한가게
148,음식점,모아분식,서구 양동시장2길 2-1,062-365-2157,,광주광역시,서구,서구청_착한가게
149,소매업(축산),주원닭집,서구 26-1,062-352-5289,,광주광역시,서구,서구청_착한가게
150,소매업(주방용품),광주기물,북구 금남로111번길 22(북동),,,광주광역시,서구,서구청_착한가게
151,소매업(수산),제1강진상회,서구 양동시장2길 12,,,광주광역시,서구,서구청_착한가게
152,음식점,무진회관,서구 구성로93번길 7-2,,,광주광역시,서구,서구청_착한가게
153,기타(교육기관),광주양동초교,서구 경열로121번길 6,,,광주광역시,서구,서구청_착한가게
154,음식점(카페),And(앤드)카페,"서구 구성로93번길 2, 1층(양동)",062-571-9500,,광주광역시,서구,서구청_착한가게
155,소매업(커튼),이엘커튼갤러리,"서구 천변좌로 243, 나2동 2층 63호",0507-1343-0657,,광주광역시,서구,서구청_착한가게
156,소매업(의류),박지화의상실,"서구 천변좌로 243, 가5동 1층",062-368-0155,,광주광역시,서구,서구청_착한가게
157,소매업(식료품),나주상회,서구 경열로 142(채소),062-369-2750,,광주광역시,서구,서구청_착한가게
158,소매업(침구),메이드바이유림,"서구 천변좌로 226, 나2동79호",062-369-7945,,광주광역시,서구,서구청_착한가게
159,소매업(화훼),금호화원,서구 독립로85번길 1,062-361-2129,,광주광역시,서구,서구청_착한가게
160,소매업(공구),전남상회,서구 천변좌로298번길 1(양동),062-369-2339,,광주광역시,서구,서구청_착한가게
161,음식점,하손추어탕장어탕,"서구 경열로 11, 1층(농성동)",062-369-8006,,광주광역시,서구,서구청_착한가게
162,소매업(이미용),헤어뷰티,서구 독립로185번길 32,,,광주광역시,서구,서구청_착한가게
163,음식점,국민동태탕,"서구 구성로67번길 6, 1층",062-351-1110,,광주광역시,서구,서구청_착한가게
164,소매업(반찬),일등반찬,"서구 양동시장2길 8, 1층(양동)",0507-1345-5739,,광주광역시,서구,서구청_착한가게
165,기타(교육기관),양동부부태권도장,서구 경열로 97-1,0507-1379-2255,,광주광역시,서구,서구청_착한가게
166,소매업(축산),대성상회,서구 천변좌로238 가동 147호(현영수산),062-361-5278,,광주광역시,서구,서구청_착한가게
167,소매업(제과),대인빵집,서구 천변좌로 238 라동 611호,062-362-2016,,광주광역시,서구,서구청_착한가게
168,소매업(채소),해주상회,서구 천변좌로 238,062-361-4351,,광주광역시,서구,서구청_착한가게
169,음식점,청송반점,"남구 구성로 14, 1층(월산동)",062-525-2373,,광주광역시,서구,서구청_착한가게
170,음식점,첼로,"서구 독립로 186, 2층(양동)",,,광주광역시,서구,서구청_착한가게
171,소매업(식료품),금산인삼,"서구 천변좌로 238, 라동 603호",062-365-9338,,광주광역시,서구,서구청_착한가게
172,소매업(식료품),지산떡집,서구 양동시장3길 15-1,062-369-8545,,광주광역시,서구,서구청_착한가게
173,음식점,영광식당,서구 천변좌로 238,062-364-0987,,광주광역시,서구,서구청_착한가게
174,기타(법률기관),청송법무사,"서구 경열로124, 3층",062-383-3200,,광주광역시,서구,서구청_착한가게
175,소매업(수산),덕양수산,서구 천변좌로 238,062-364-0406,,광주광역시,서구,서구청_착한가게
176,소매업(수산),태평양수산,서구 천변좌로246번길 16,062-365-3177,,광주광역시,서구,서구청_착한가게
177,소매업(수산),해동수산1,서구 양동 5-350 시장내,062-369-3794,,광주광역시,서구,서구청_착한가게
178,소매업(수산),해동수산2,서구 양동 5-350 시장내,062-369-3794,,광주광역시,서구,서구청_착한가게
179,소매업(수산),지현이네,"서구 양동시장2길 17, 동광수산 내",062-267-5046,,광주광역시,서구,서구청_착한가게
180,소매업(농수산물),용태상회,서구 양동시장2길 18,062-369-0028,,광주광역시,서구,서구청_착한가게
181,소매업(의류),태창청코너,서구 천변좌로243 양동복개상가 나3동 101호,062-365-4664,,광주광역시,서구,서구청_착한가게
182,소매업(축산),양동식육점,"서구 천변좌로 238, 양동식육점",062-368-2436,,광주광역시,서구,서구청_착한가게
183,소매업(축산),부안닭집,서구 천변좌로 238 양동시장 다동402호,062-366-5724,,광주광역시,서구,서구청_착한가게
184,소매업(의류),엘레강스,"서구 천변좌로 243, 양동복개상가 가4동 23호",062-366-8622,,광주광역시,서구,서구청_착한가게
185,소매업(수산),군산상회,서구 천변좌로 238 가동 150호,062-368-3675,,광주광역시,서구,서구청_착한가게
186,소매업(수산),양동젓갈,서구 양동시장3길 2-1,062-363-5241,,광주광역시,서구,서구청_착한가게
187,소매업(산업용품),대명유통,서구 천변좌로 238 (양동 5-350),062-364-3993,,광주광역시,서구,서구청_착한가게
188,소매업(반찬),행운반찬,서구 경열로 138,,,광주광역시,서구,서구청_착한가게
189,소매업(수산),민아네수산,서구 양동시장2길 17,,,광주광역시,서구,서구청_착한가게
190,소매업(수산),해창상회,서구 천변좌로246번길 16,062-361-2025,,광주광역시,서구,서구청_착한가게
191,소매업(식료품),우리제사,"서구 천변좌로 238, 라동 624호",,,광주광역시,서구,서구청_착한가게
192,소매업(수산),남도홍어,"서구 천변좌로246번길 16, A동 210호",062-361-5535,,광주광역시,서구,서구청_착한가게
193,소매업(주방용품),무등산종합주방,서구 양동 5-8번지,,,광주광역시,서구,서구청_착한가게
194,소매업(수산물),목포상회,"서구 천변좌로238, 다비동 1층 566",062-368-5623,,광주광역시,서구,서구청_착한가게
195,음식점,금닭,"서구 천변좌로 243, 양동복개상가 1층",062-361-5535,,광주광역시,서구,서구청_착한가게
196,음식점,청춘샌드위치,서구 천변좌로 12-14,0507-1403-0424,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
197,소매업(철물),평화철물,서구 월산로 235,062-367-7375,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
198,마트,드림마트,서구 발산로 34,0507-1373-3938,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
199,음식점(카페),카페다름,서구 천변좌로 120 2층,0507-1440-3534,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
200,음식점,임실치즈피자,서구 발산로 31-1,062-366-3669,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
201,음식점(카페),달래커피,서구 발산로 37,0507-1492-238,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
202,음식점,한마루식당,서구 발산로 35,062-362-0770,,광주광역시,서구,서구청_착한가게
203,복지용구,토마토의료기,서구 내방로398번길 5(농성동),0507-1379-4747,,광주광역시,서구,서구청_착한가게
204,음식점(카페),아트마켓스토리북,서구 발산로 33-1,,,광주광역시,서구,서구청_착한가게
205,기타(복지기관),가족치유상담센터,서구 천변좌로108번길 22,,,광주광역시,서구,서구청_착한가게
206,음식점,나주곰탕별관,서구 천변좌로 134,,,광주광역시,서구,서구청_착한가게
207,음식점,보미식당,서구 천변좌로 140-2,062-362-3371,,광주광역시,서구,서구청_착한가게
208,소매업(장판마루),구정마루광주총판,서구 천변좌로 142,0507-1314-6001,,광주광역시,서구,서구청_착한가게
209,소매업(수산),삼성냉동수산,서구 천변좌로 162,062-368-0180,,광주광역시,서구,서구청_착한가게
210,소매업(방앗간),박세환오복떡방앗간,서구 발산로45번길 2,062-365-5630,,광주광역시,서구,서구청_착한가게
211,기타(인쇄사),금호기획인쇄사,서구 발산로 36 (센트럴뷰),062-223-5705~6,,광주광역시,서구,서구청_착한가게
212,소매업(세탁소),태모크리닝,서구 발산로 33,062-368-7694,,광주광역시,서구,서구청_착한가게
213,기타(편의점),GS25 양동센터럴점,"서구 발산로 39, 1층",,,광주광역시,서구,서구청_착한가게
214,기타(교육기관),양3동어린이집,서구 천변좌로130번길 20,062-364-1951,,광주광역시,서구,서구청_착한가게
215,기타(교육기관),최강태권도,"서구 발산로 39, 2층",062-366-1400,,광주광역시,서구,서구청_착한가게
216,기타(금융기관),양동새마을금고,서구 천변좌로 144-1,062-362-3333,,광주광역시,서구,서구청_착한가게
217,의료기관,조은약국,서구 발산로 43,062-369-5178,,광주광역시,서구,서구청_착한가게
218,의료기관,하나가정의학과,서구 발산로 43,062-366-7575,,광주광역시,서구,서구청_착한가게
219,기타(종교단체),광주번성교회,서구 상무대로1243번길 14,062-366-2433,,광주광역시,서구,서구청_착한가게
220,소매업(설비),광영설비,"북구 용봉택지로13번길 33, 상가동 101호",,,광주광역시,서구,서구청_착한가게
221,기타(이미용),노엘스킨케어,"남구 대남대로390번길 4, 2층",,,광주광역시,서구,서구청_착한가게
222,기타(광고마케팅),동암기획,서구 상무대로956번길 6,,,광주광역시,서구,서구청_착한가게
223,기타(중소기업),라피아,"서구 천변좌로108번길 14-5, 1층",,,광주광역시,서구,서구청_착한가게
224,기타(중소기업),맥시아트협동조합,서구 양동 325-33,,,광주광역시,서구,서구청_착한가게
225,기타(중소기업),송학장갑,서구 천변좌로 146-1,062-369-7117,,광주광역시,서구,서구청_착한가게
226,기타(중소기업),오방협동조합,서구 발산로49번길 28,,,광주광역시,서구,서구청_착한가게
227,기타(중소기업),유성티엔에스,인천광역시 중구 축항대로291번길 6(신흥3가),,,광주광역시,서구,서구청_착한가게
228,기타(중소기업),이사일오,서구 발산로 33-1,,,광주광역시,서구,서구청_착한가게
229,기타(중소기업),(주)에스지인사이트,서울특별시 강남구 도산대로15길 7(신사동),02-511-9102,,광주광역시,서구,서구청_착한가게
230,기타(중소기업),지니어스베이,경기도 수원시 권선구 권선로 308-5(고색동),,,광주광역시,서구,서구청_착한가게
231,기타(협동조합),청춘발산협동조합,서구 천변좌로 12-16,,,광주광역시,서구,서구청_착한가게
232,음식점(카페),플롱(FLONG),서구 천변좌로 108번길 20-2,,,광주광역시,서구,서구청_착한가게
233,음식점,부광식당,서구 월산로 169번길 5-1,062-369-3364,,광주광역시,서구,서구청_착한가게
234,기타(건설업),동양천막,서구 양동 371-2,062-369-3535,,광주광역시,서구,서구청_착한가게
235,기타(복지기관),브니엘지역아동센터,서구 천변좌로 108번길 5,062-352-3927,,광주광역시,서구,서구청_착한가게
236,기타(건물),휴먼리소스,"서구 시청로 56번길 3,7층",,,광주광역시,서구,서구청_착한가게
237,기타(pc방),알리바바프리미엄PC방,서구 염화로 95,,,광주광역시,서구,서구청_착한가게
238,음식점,투인방,서구 발산로 43,,,광주광역시,서구,서구청_착한가게
239,음식점,다크호스,서구 발산로 33,062-366-8777,,광주광역시,서구,서구청_착한가게
240,음식점,난이식당,서구 죽봉대로22번길 3,062-369-5884,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
241,음식점,밥집술집,서구 월산로 165번길 17,062-366-3800,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
242,음식점,부광식당,서구 월산로 169번길 5-1,062-369-3364,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
243,음식점,시골집,서구 내방로 398번길 4,062-363-8663,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
244,음식점,여수원조서대회,서구 내방로 394,062-367-2727,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
